periodoExhibicion,nombreExhibicion,idJugador,participaTriples,participaDunk,participaSkills,equipoRepresentado
2018 - 2019,All Star,201980,1,0,0,
2018 - 2019,All Star,1627741,1,0,0,
2018 - 2019,All Star,1628977,0,1,0,
2018 - 2019,All Star,1628970,0,1,0,
2018 - 2019,All Star,1628381,0,1,0,
2018 - 2019,All Star,1628372,0,1,0,
2018 - 2019,All Star,1628369,0,0,1,
2018 - 2019,All Star,201144,0,0,1,
2018 - 2019,All Star,1629029,0,0,1,
2018 - 2019,All Star,1628368,0,0,1,
2018 - 2019,All Star,1628398,0,0,1,
2018 - 2019,All Star,1629027,0,0,1,
2018 - 2019,All Star,201939,1,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,203507,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,202331,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,203954,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,202689,1,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,203114,1,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,201933,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,201566,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,203999,0,0,1,Giannis Antetokounmpo
2018 - 2019,All Star,200768,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,1626156,0,0,0,Giannis Antetokounmpo
2018 - 2019,All Star,202696,0,0,1,Giannis Antetokounmpo
2018 - 2019,All Star,1717,1,0,0,Giannis Antetokounmpo
