idJugador,idEquipo,anio,posicionDraft
1630202,1610612738,2020,26
1628962,1610612762,2020,27
1630183,1610612747,2020,28
1630201,1610612761,2020,29
1630217,1610612738,2020,30
1630179,1610612742,2020,31
1630176,1610612766,2020,32
1630187,1610612750,2020,33
1630177,1610612755,2020,34
1000,1610612758,2020,35
1630189,1610612755,2020,36
1630249,1610612764,2020,37
1630240,1610612762,2020,38
1630190,1610612740,2020,39
1630218,1610612763,2020,40
1630200,1610612759,2020,41
1630208,1610612740,2020,42
1630186,1610612758,2020,43
1630250,1610612741,2020,44
1629670,1610612749,2020,45
1629604,1610612757,2020,46
10001,1610612738,2020,47
1630185,1610612744,2020,48
1630198,1610612755,2020,49
1630219,1610612737,2020,50
10002,1610612744,2020,51
1630231,1610612758,2020,52
1630216,1610612760,2020,53
1630199,1610612754,2020,54
1630206,1610612751,2020,55
1630203,1610612766,2020,56
1629617,1610612746,2020,57
1630194,1610612755,2020,58
1630223,1610612761,2020,59
1630241,1610612740,2020,60
1630595,1610612765,2021,1
1630224,1610612745,2021,2
1630596,1610612739,2021,3
1630567,1610612761,2021,4
1630591,1610612753,2021,5
1630581,1610612760,2021,6
1630228,1610612744,2021,7
1630532,1610612753,2021,8
1630558,1610612758,2021,9
1630533,1610612740,2021,10
1630547,1610612766,2021,11
1630563,1610612759,2021,12
1630537,1610612754,2021,13
1630541,1610612744,2021,14
1630557,1610612764,2021,15
1630578,1610612760,2021,16
1630530,1610612763,2021,17
1630544,1610612760,2021,18
1630539,1610612752,2021,19
1630552,1610612737,2021,20
1630553,1610612752,2021,21
1630543,1610612747,2021,22
1630586,1610612745,2021,23
1630528,1610612745,2021,24
1629656,1610612746,2021,25
1630538,1610612743,2021,26
1630560,1610612751,2021,27
1630531,1610612755,2021,28
1630549,1610612756,2021,29
1630583,1610612762,2021,30
1630225,1610612749,2021,31
1630526,1610612752,2021,32
1630554,1610612753,2021,33
20000,1610612760,2021,34
1630529,1610612740,2021,35
1630540,1610612760,2021,36
1630550,1610612765,2021,37
1630245,1610612741,2021,38
1629674,1610612758,2021,39
1630215,1610612740,2021,40
1630580,1610612759,2021,41
1630587,1610612765,2021,42
1630535,1610612740,2021,43
1630556,1610612751,2021,44
30000,1610612738,2021,45
1630625,1610612761,2021,46
77139,1610612761,2021,47
1630536,1610612737,2021,48
12345,1610612751,2021,49
67890,1610612755,2021,50
1630527,1610612763,2021,51
1630568,1610612765,2021,52
1629646,1610612755,2021,53
1630572,1610612754,2021,54
1630598,1610612760,2021,55
1630575,1610612766,2021,56
99,1610612766,2021,57
1630579,1610612752,2021,58
200,1610612751,2021,59
1630686,1610612754,2021,60
