idJugador,idEquipo,anio,posicionDraft
1629028,1610612756,2018,1
1628963,1610612758,2018,2
1629029,1610612737,2018,3
1628991,1610612763,2018,4
1629027,1610612742,2018,5
1628964,1610612753,2018,6
1628976,1610612741,2018,7
1629012,1610612739,2018,8
1628995,1610612752,2018,9
1628969,1610612755,2018,10
1628983,1610612766,2018,11
1628970,1610612746,2018,12
1629010,1610612746,2018,13
1629008,1610612743,2018,14
1628972,1610612764,2018,15
1629015,1610612756,2018,16
1628978,1610612749,2018,17
1629022,1610612759,2018,18
1628989,1610612737,2018,19
1629006,1610612750,2018,20
1628960,1610612762,2018,21
1628990,1610612741,2018,22
1628988,1610612754,2018,23
1629014,1610612757,2018,24
1629021,1610612747,2018,25
1629013,1610612755,2018,26
1629057,1610612738,2018,27
1628980,1610612744,2018,28
1629058,1610612751,2018,29
1629016,1610612737,2018,30
1629059,1610612756,2018,31
1628975,1610612763,2018,32
1628973,1610612742,2018,33
1628984,1610612737,2018,34
1628982,1610612753,2018,35
1629011,1610612752,2018,36
1629018,1610612758,2018,37
1629017,1610612755,2018,38
1629067,1610612755,2018,39
1629066,1610612751,2018,40
1629020,1610612753,2018,41
1628971,1610612765,2018,42
1628382,1610612743,2018,43
222,1610612764,2018,44
1628977,1610612751,2018,45
1629001,1610612745,2018,46
1629004,1610612747,2018,47
1628966,1610612750,2018,48
1629002,1610612759,2018,49
1628993,1610612754,2018,50
1628974,1610612740,2018,51
1629053,1610612762,2018,52
1628985,1610612760,2018,53
1629003,1610612742,2018,54
1629083,1610612766,2018,55
1629034,1610612755,2018,56
1628987,1610612760,2018,57
1629118,1610612743,2018,58
77268,1610612756,2018,59
1628994,1610612756,2018,59
1628961,1610612755,2018,60
1629627,1610612740,2019,1
1629630,1610612763,2019,2
1629628,1610612752,2019,3
1629631,1610612747,2019,4
1629636,1610612739,2019,5
1629633,1610612756,2019,6
1629632,1610612741,2019,7
1629637,1610612737,2019,8
1629060,1610612764,2019,9
1629629,1610612737,2019,10
1629661,1610612750,2019,11
1629023,1610612766,2019,12
1629639,1610612748,2019,13
1629641,1610612738,2019,14
1629635,1610612765,2019,15
1629643,1610612753,2019,16
1629638,1610612751,2019,17
1629048,1610612754,2019,18
1629677,1610612759,2019,19
1629680,1610612738,2019,20
1629634,1610612760,2019,21
1629684,1610612738,2019,22
1629647,1610612762,2019,23
1629660,1610612755,2019,24
1629642,1610612757,2019,25
1629685,1610612739,2019,26
1629662,1610612751,2019,27
1629673,1610612744,2019,28
1629640,1610612759,2019,29
1629645,1610612749,2019,30
1629651,1610612751,2019,31
1629644,1610612756,2019,32
1629035,1610612755,2019,33
1628981,1610612755,2019,34
1629712,1610612737,2019,35
1628998,1610612766,2019,36
1629686,1610612742,2019,37
1629655,1610612741,2019,38
1629346,1610612740,2019,39
1629713,1610612758,2019,40
1629672,1610612744,2019,41
1629678,1610612755,2019,42
1629669,1610612750,2019,43
1629626,1610612748,2019,44
1629676,1610612765,2019,45
1629659,1610612753,2019,46
1629649,1610612758,2019,47
1629611,1610612746,2019,48
1629683,1610612759,2019,49
1629714,1610612754,2019,50
1629682,1610612738,2019,51
1629667,1610612766,2019,52
1629625,1610612762,2019,53
1629621,1610612755,2019,54
1629657,1610612752,2019,55
125,1610612746,2019,56
1629648,1610612740,2019,57
1629671,1610612744,2019,58
1629608,1610612761,2019,59
126,1610612758,2019,60
1630162,1610612750,2020,1
1630164,1610612744,2020,2
1630163,1610612766,2020,3
1630172,1610612741,2020,4
1630171,1610612739,2020,5
1630168,1610612737,2020,6
1630165,1610612765,2020,7
1630167,1610612752,2020,8
1630166,1610612764,2020,9
1630188,1610612756,2020,10
1630170,1610612759,2020,11
1630169,1610612758,2020,12
1630184,1610612740,2020,13
1630174,1610612738,2020,14
1630175,1610612753,2020,15
1630191,1610612757,2020,16
1630197,1610612750,2020,17
1630182,1610612742,2020,18
1630180,1610612751,2020,19
1630173,1610612748,2020,20
1630178,1610612755,2020,21
1630192,1610612743,2020,22
1630195,1610612752,2020,23
1630181,1610612749,2020,24
1630193,1610612760,2020,25
